description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
5 Socket Weapon	1			100					2	weap,mag	r14						usetype,nor		100		sock	100	5																																																																																	0
6 Socket Weapon	1			100					2	weap,mag	r15						usetype,nor		100		sock	100	6																																																																																	0
Lightning Damage Weapon	1			100					2	weap,any	gpy						useitem		100		dmg-ltng	100		1	75	levelreq	100		11	11																																																																										0
Fire Damage Weapon	1			100					2	weap,any	gpr						useitem		100		dmg-fire	100		30	50	levelreq	100		11	11																																																																										0
Cold Damage Weapons	1			100					2	weap,any	gpb						useitem		100		dmg-cold	100	75	20	30	levelreq	100		11	11																																																																										0
Poison Damage Weapons	1			100					2	weap,any	gpg						useitem		100		dmg-pois	100	179	143	143	levelreq	100		11	11																																																																										0
Physical Damage Weapons	1			100					2	weap,any	skz						useitem		100		dmg-norm	100		5	15	levelreq	100		12	12																																																																										0
Attack Rating Weapons	1			100					2	weap,any	gpv						useitem		100		att%	100		5	5	levelreq	100		9	9																																																																										0
Durability Weapons	1			100					2	weap,any	gpw						useitem		100		dur	100		5	5	levelreq	100		1	1																																																																										0
Duel Leech Weapons	1			100					4	weap,any	skz,qty=3						useitem		100		lifesteal	100		1	1	levelreq	100		7	7	manasteal	100		1	1																																																																					0
MF Armor	1			100					2	tors,any	gpy						useitem		100		mag%	100		20	20	levelreq	100		10	10																																																																										0
Life Armor	1			100					2	tors,any	gpr						useitem		100		hp	100		35	35	levelreq	100		18	18																																																																										0
Mana Armor	1			100					2	tors,any	gpb						useitem		100		mana	100		20	20	levelreq	100		15	15																																																																										0
Dexterity Armor	1			100					2	tors,any	gpg						useitem		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	tors,any	skz						useitem		100		regen	100		1	1	levelreq	100		5	5	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	tors,any	gpv						useitem		100		str	100		5	5	levelreq	100		10	10																																																																										0
Durability Armor	1			100					2	armo,any	gpw						useitem		100		dur	100		5	5	levelreq	100		1	1																																																																										0
Defense Armor	1			100					4	armo,any	gpw,qty=3						useitem		100		ac%	100		5	5	levelreq	100		3	3																																																																										0
MF Armor	1			100					2	belt,any	gpy						useitem		100		mag%	100		3	3	levelreq	100		7	7																																																																										0
Life Armor	1			100					2	belt,any	gpr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Armor	1			100					2	belt,any	gpb						useitem		100		mana	100		4	4	levelreq	100		5	5																																																																										0
Dexterity Armor	1			100					2	belt,any	gpg						useitem		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	belt,any	skz						useitem		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	belt,any	gpv						useitem		100		str	100		5	5	levelreq	100		10	10																																																																										0
Adds 1 Socket	1			100					2	weap,mag	r10						useitem		100		sock	100		3	3																																																																															0
MF Armor	1			100					2	glov,any	gpy						useitem		100		mag%	100		3	3	levelreq	100		3	3																																																																										0
Life Armor	1			100					2	glov,any	gpr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Armor	1			100					2	glov,any	gpb						useitem		100		mana	100		4	4	levelreq	100		5	5																																																																										0
Dexterity Armor	1			100					2	glov,any	gpg						useitem		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	glov,any	skz						useitem		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	glov,any	gpv						useitem		100		str	100		5	5	levelreq	100		10	10																																																																										0
MF Armor	1			100					2	boot,any	gpy						useitem		100		mag%	100		3	3	levelreq	100		3	3																																																																										0
Life Armor	1			100					2	boot,any	gpr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Armor	1			100					2	boot,any	gpb						useitem		100		mana	100		4	4	levelreq	100		5	5																																																																										0
Dexterity Armor	1			100					2	boot,any	gpg						useitem		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	boot,any	skz						useitem		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	boot,any	gpv						useitem		100		str	100		5	5	levelreq	100		10	10																																																																										0
MF Armor	1			100					2	helm,any	gpy						useitem		100		mag%	100		3	3	levelreq	100		3	3																																																																										0
Life Armor	1			100					2	helm,any	gpr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Armor	1			100					2	helm,any	gpb						useitem		100		mana	100		4	4	levelreq	100		5	5																																																																										0
Dexterity Armor	1			100					2	helm,any	gpg						useitem		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	helm,any	skz						useitem		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	helm,any	gpv						useitem		100		str	100		5	5	levelreq	100		10	10																																																																										0
Lightning Resist Shield	1			100					2	shld,any	gpy						useitem		100		res-ltng	100		12	12	levelreq	100		7	7																																																																										0
Fire Resist Shield	1			100					2	shld,any	gpr						useitem		100		res-fire	100		12	12	levelreq	100		7	7																																																																										0
Cold Resist Shield	1			100					2	shld,any	gpb						useitem		100		res-cold	100		12	12	levelreq	100		7	7																																																																										0
Poison Resist Shield	1			100					2	shld,any	gpg						useitem		100		res-pois	100		12	12	levelreq	100		7	7																																																																										0
Attacker Takes DMG Shield	1			100					2	shld,any	skz						useitem		100		thorns	100		20	20	levelreq	100		9	9																																																																										0
Increased % to Block Shield	1			100					2	shld,any	gpv						useitem		100		block	100		5	5	levelreq	100		12	12																																																																										0
All resist Shield	1			100					3	shld,any	gpw,qty=2						useitem		100		res-all	100		10	10	levelreq	100		15	15																																																																										0
+1 Skills to Amulet	1			100					7	amu,any	gpy,qty=6						useitem		100		ass	100		1	1	levelreq	100		20	20																																																																										0
+1 Skills to Amulet	1			100					7	amu,any	gpr,qty=6						useitem		100		bar	100		1	1	levelreq	100		20	20																																																																										0
+1 Skills to Amulet	1			100					7	amu,any	gpb,qty=6						useitem		100		sor	100		1	1	levelreq	100		20	20																																																																										0
+1 Skills to Amulet	1			100					7	amu,any	gpg,qty=6						useitem		100		dru	100		1	1	levelreq	100		20	20																																																																										0
+1 Skills to Amulet	1			100					7	amu,any	skz,qty=6						useitem		100		nec	100		1	1	levelreq	100		20	20																																																																										0
+1 Skills to Amulet	1			100					7	amu,any	gpv,qty=6						useitem		100		ama	100		1	1	levelreq	100		20	20																																																																										0
+1 Skills to Amulet	1			100					7	amu,any	gpw,qty=6						useitem		100		pal	100		1	1	levelreq	100		20	20																																																																										0
MF Ring	1			100					2	rin,any	gpy						useitem		100		mag%	100		3	3	levelreq	100		7	7																																																																										0
Life Ring	1			100					2	rin,any	gpr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Ring	1			100					2	rin,any	gpb						useitem		100		mana	100		8	8	levelreq	100		5	5																																																																										0
Dexterity Ring	1			100					2	rin,any	gpg						useitem		100		dex	100		5	5	levelreq	100		8	8																																																																										0
